Basic Q learning agent after 150 000 episodes. Medium mode (pipe_gap = 120)
Score: 6.0|Max. score: 6.0
Score: 51.0|Max. score: 51.0
Score: 136.0|Max. score: 136.0
Score: 21.0|Max. score: 136.0
Score: 46.0|Max. score: 136.0
Score: 340.0|Max. score: 340.0
Score: 280.0|Max. score: 340.0
Score: 200.0|Max. score: 340.0
Score: 261.0|Max. score: 340.0
Score: 279.0|Max. score: 340.0
Score: 233.0|Max. score: 340.0
Score: 211.0|Max. score: 340.0
Score: 227.0|Max. score: 340.0
Score: 47.0|Max. score: 340.0
Score: 137.0|Max. score: 340.0
Score: 341.0|Max. score: 341.0
Score: 330.0|Max. score: 341.0
Score: 345.0|Max. score: 345.0
Score: 365.0|Max. score: 365.0
Score: 113.0|Max. score: 365.0
