Monte Carlo Q learning agent after 150 000 episodes. Hard mode (pipe_gap = 100)
Score: 4.0|Max. score: 4.0
Score: 116.0|Max. score: 116.0
Score: 92.0|Max. score: 116.0
Score: 7.0|Max. score: 116.0
Score: 266.0|Max. score: 266.0
Score: 150.0|Max. score: 266.0
Score: 152.0|Max. score: 266.0
Score: 300.0|Max. score: 300.0
Score: 240.0|Max. score: 300.0
Score: 110.0|Max. score: 300.0
Score: 106.0|Max. score: 300.0
Score: 162.0|Max. score: 300.0
Score: 147.0|Max. score: 300.0
Score: 111.0|Max. score: 300.0
Score: 140.0|Max. score: 300.0
Score: 19.0|Max. score: 300.0
Score: 136.0|Max. score: 300.0
Score: 133.0|Max. score: 300.0
Score: 191.0|Max. score: 300.0
Score: 129.0|Max. score: 300.0
