Monte Carlo Q learning agent after 150 000 episodes. Speed of light mode (pipe_gap = 100 and force_fps=True)
Score: 4.0|Max. score: 4.0
Score: 116.0|Max. score: 116.0
Score: 92.0|Max. score: 116.0
Score: 7.0|Max. score: 116.0
Score: 266.0|Max. score: 266.0
Score: 10.0|Max. score: 266.0
Score: 5.0|Max. score: 266.0
Score: 5.0|Max. score: 266.0
Score: 40.0|Max. score: 266.0
Score: 10.0|Max. score: 266.0
Score: 106.0|Max. score: 266.0
Score: 62.0|Max. score: 266.0
Score: 47.0|Max. score: 266.0
Score: 11.0|Max. score: 266.0
Score: 40.0|Max. score: 266.0
Score: 19.0|Max. score: 266.0
Score: 73.0|Max. score: 266.0
Score: 19.0|Max. score: 266.0
Score: 98.0|Max. score: 266.0
Score: 8.0|Max. score: 266.0
