Monte Carlo Q learning agent after 2000 episodes. Speed of light mode (pipe_gap = 100 and force_fps=True)
Score: 233.0|Max. score: 233.0
Score: 266.0|Max. score: 266.0
Score: 10.0|Max. score: 266.0
Score: 234.0|Max. score: 266.0
Score: 22.0|Max. score: 266.0
Score: 110.0|Max. score: 266.0
Score: 106.0|Max. score: 266.0
Score: 196.0|Max. score: 266.0
Score: 73.0|Max. score: 266.0
Score: 219.0|Max. score: 266.0
Score: 139.0|Max. score: 266.0
Score: 259.0|Max. score: 266.0
Score: 179.0|Max. score: 266.0
Score: 286.0|Max. score: 286.0
Score: 231.0|Max. score: 286.0
Score: 136.0|Max. score: 286.0
Score: 5.0|Max. score: 286.0
Score: 255.0|Max. score: 286.0
Score: 232.0|Max. score: 286.0
Score: 94.0|Max. score: 286.0
